ts_code,name,industry,value_type,price,fair_lower,fair_mid,fair_upper,price_to_mid,premium_to_mid,deviation_to_upper,method,current_pe_ttm,current_pb,dividend_yield_ttm_pct,dividend_crosscheck_mid,confidence,valuation_status,exit_state,fundamental_overall,new_funds_action,existing_position_action,kelly_70_half,scan_有利,scan_当期恶化，持续性待确认,scan_不利信号出现,scan_证据不足,scan_不适用
601229.SH,上海银行,银行,金融,9.59,11.616843146809206,15.5429734128958,20.586620028137098,0.6169990609417954,-0.38300093905820465,-0.5341634524320791,PB/ROE剩余收益近似,5.6165,0.53,5.4223,8.666642833333333,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,9,2,0,13,8
600919.SH,江苏银行,银行,金融,12.33,14.591898959374172,19.97334703231884,27.108382668769227,0.6173226740640337,-0.38267732593596626,-0.5451591431824876,PB/ROE剩余收益近似,6.2613,0.8338,4.5748,9.401214000000001,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,8,3,0,13,8
601916.SH,浙商银行,银行,金融,2.96,3.697755180946761,4.794192432220296,6.1271216821043435,0.6174136816258664,-0.3825863183741336,-0.5169020376002398,PB/ROE剩余收益近似,6.2114,0.4475,4.4257,2.183345333333333,低,证据不足,出清观察,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,7,3,1,13,8
000651.SZ,格力电器,家用电器,稳定盈利,38.87,41.950717280516315,62.14615065572269,90.14097115122642,0.6254611040244803,-0.3745388959755197,-0.5687865406421113,正常化盈利估值（正常化归母利润×合理PE）,7.8127,1.4661,7.7101,74.92289674999999,中,折价,出清观察,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,15,5,0,12,0
600036.SH,招商银行,银行,金融,41.0,46.22659260843268,63.998789902821656,79.99848737852707,0.6406371130181688,-0.35936288698183116,-0.4874903095854649,PB/ROE剩余收益近似,6.8164,0.903,4.9171,33.600183333333334,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,7,2,0,15,8
601009.SH,南京银行,银行,金融,12.02,13.148626533752276,17.958455726760295,24.3178254253714,0.6693225844630243,-0.3306774155369757,-0.5057123821828562,PB/ROE剩余收益近似,6.5071,0.7693,4.4022,8.819073999999999,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,8,3,0,13,8
601838.SH,成都银行,银行,金融,19.86,23.136452266797296,29.22499233700711,36.531240421258886,0.6795553535475738,-0.3204446464524262,-0.456355717161941,PB/ROE剩余收益近似,6.2024,0.9127,4.6375,15.350125000000002,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,9,2,0,13,8
601298.SH,青岛港,港口,稳定盈利,9.46,7.72768034008761,13.654164675434764,21.719387214221317,0.6928289078730321,-0.3071710921269679,-0.5644444335977478,正常化盈利估值（正常化归母利润×合理PE）,11.827,1.301,3.6512,6.908070399999999,低,公允价值内,未见出清触发,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,18,3,0,11,0
601825.SH,沪农商行,银行,金融,8.96,9.386588082097662,12.699821169308938,17.025581977334934,0.705521745585931,-0.29447825441406905,-0.4737331145609075,PB/ROE剩余收益近似,6.9838,0.6492,4.8549,7.249984,低,证据不足,出清观察,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,7,3,1,13,8
601328.SH,交通银行,银行,金融,7.29,7.737180919216957,10.142737612936196,13.129752693012014,0.7187408644686053,-0.2812591355313947,-0.4447724819767609,PB/ROE剩余收益近似,6.6082,0.5516,4.4541,5.411731500000001,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,7,2,0,15,8
600887.SH,伊利股份,乳制品,稳定盈利,26.45,17.014679199696616,36.407520312786495,60.336558580578085,0.7264982556560061,-0.2735017443439939,-0.5616256441825956,正常化盈利估值（正常化归母利润×合理PE）,16.5268,3.1149,5.2174,34.5000575,中,公允价值内,出清观察,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,15,3,1,13,0
601658.SH,邮储银行,银行,金融,5.4,5.515215466777087,7.2766631042964915,9.488922993201477,0.7420983935358476,-0.2579016064641524,-0.4309153943109313,PB/ROE剩余收益近似,7.2315,0.6198,4.0426,3.638340000000001,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,7,2,0,15,8
000333.SZ,美的集团,家用电器,稳定盈利,86.02,53.988305291747906,113.52113786252147,190.09528703096265,0.7577443427687764,-0.24225565723122355,-0.5474900964483718,正常化盈利估值（正常化归母利润×合理PE）,14.7873,3.0986,4.8918,105.19815899999998,中,公允价值内,出清观察,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,16,3,1,12,0
601398.SH,工商银行,银行,金融,8.0,7.408906236726385,9.899297055695246,13.09184080551882,0.8081381895088656,-0.19186181049113438,-0.38893238018693077,PB/ROE剩余收益近似,7.6208,0.7196,3.8787,5.1716,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,7,2,0,15,8
601939.SH,建设银行,银行,金融,10.82,9.871029648363537,13.350055006150104,17.889817367487858,0.8104835519415794,-0.1895164480584206,-0.3951866708452946,PB/ROE剩余收益近似,8.1714,0.7906,1.8752,3.381610666666667,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,7,2,0,15,8
600886.SH,国投电力,水力发电,稳定盈利,14.37,8.838065198204774,17.138289707260686,28.448536192804138,0.8384733976058362,-0.16152660239416383,-0.4948773496600928,正常化盈利估值（正常化归母利润×合理PE）,16.1229,1.7334,3.5358,10.1618892,中,公允价值内,出清观察,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,12,5,0,15,0
601288.SH,农业银行,银行,金融,6.81,5.777308241000957,7.715055123750119,10.197053764026249,0.8826897398355604,-0.11731026016443957,-0.33216003783125003,PB/ROE剩余收益近似,8.0003,0.8339,3.6638,4.158413,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,7,2,0,15,8
000858.SZ,五粮液,白酒,稳定盈利,71.16,54.1,78.83,107.69,0.9027020169986045,-0.09729798300139547,-0.3392144117373944,现有单股权威研报：正常化盈利估值,21.112,2.3313,7.2456,128.89922399999998,中,公允价值内,出清中,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,9,8,2,13,0
601988.SH,中国银行,银行,金融,6.43,5.3419042496602955,7.050554834787533,9.197838500070356,0.9119849643994388,-0.08801503560056123,-0.3009227113575852,PB/ROE剩余收益近似,8.3198,0.7532,3.5194,3.7716236666666667,低,证据不足,未见出清触发,数据不足，无法判断：银行前三项须由资本充足率、资产质量、息差与流动性指标替代；当前接口证据不足。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,7,2,0,15,8
601728.SH,中国电信,电信运营,稳定盈利,6.28,3.6355748958757004,6.8517931873355,11.169508785025464,0.9165483878888271,-0.08345161211117291,-0.43775504179562863,正常化盈利估值（正常化归母利润×合理PE）,19.3129,1.2178,1.4459,1.8160504,低,公允价值内,未见出清触发,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,15,4,0,13,0
600600.SH,青岛啤酒,啤酒,稳定盈利,51.38,30.67994412173409,55.24817010635795,90.86069944092077,0.9299855524823474,-0.07001444751765262,-0.4345189909812638,正常化盈利估值（正常化归母利润×合理PE）,15.2256,2.2357,4.5738,58.75046100000001,中,公允价值内,未见出清触发,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,18,2,0,12,0
601766.SH,中国中车,运输设备,周期资源/重资产,6.16,5.66,6.49,7.38,0.9491525423728814,-0.05084745762711862,-0.16531165311653118,现有单股权威研报：综合估值,12.6947,1.0017,3.7338,4.181856,中,公允价值内,出清中,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,10,4,5,13,0
600519.SH,贵州茅台,白酒,稳定盈利,1290.88,703.556612424382,1340.9811891861898,2224.6911888869963,0.9626384101505593,-0.03736158984944071,-0.41974867952534933,正常化盈利估值（正常化归母利润×合理PE）,19.8161,6.4226,4.0301,1300.5938720000001,中,公允价值内,出清观察,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,15,3,1,13,0
000423.SZ,东阿阿胶,中成药,稳定盈利,46.71,21.584253809216662,48.290506125105665,87.1158717421879,0.967270872642936,-0.032729127357064014,-0.4638175677305473,正常化盈利估值（正常化归母利润×合理PE）,16.7448,2.942,5.9608,69.607242,中,公允价值内,出清观察,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.47726422750850117,10,10,0,12,0
601000.SH,唐山港,港口,稳定盈利,4.57,2.808344809186343,4.555293088404621,6.676847413999678,1.0032285324588257,0.003228532458825706,-0.3155452391471678,正常化盈利估值（正常化归母利润×合理PE）,12.7624,1.2702,4.3764,4.0000296,中,公允价值内,未见出清触发,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,15,3,0,14,0
600377.SH,宁沪高速,路桥,稳定盈利,12.49,7.4325540984535605,12.121290573461224,18.480343093008464,1.0304183308125656,0.03041833081256562,-0.32414674678170596,正常化盈利估值（正常化归母利润×合理PE）,13.464,1.5147,3.9231,9.7999038,中,公允价值内,出清中,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.5,10,4,5,13,0
600900.SH,长江电力,水力发电,稳定盈利,28.05,12.93908142890725,26.544389001182154,43.43130075787707,1.0567204993398338,0.05672049933983381,-0.3541524312989264,正常化盈利估值（正常化归母利润×合理PE）,18.9584,3.1755,3.5651,20.000211,中,公允价值内,未见出清触发,改善：负债、净现金和现金流三个高权重维度中至少两项改善，未见同层级反证。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.376149342394518,18,2,0,12,0
603195.SH,公牛集团,家用电器,稳定盈利,38.79,21.004754020701338,35.18067922053793,54.23023442609882,1.1025938344406665,0.1025938344406665,-0.2847163503808875,正常化盈利估值（正常化归母利润×合理PE）,16.8082,4.6044,4.9103,47.61763425,中,公允价值内,未见出清触发,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.38651731562214076,17,3,0,12,0
600941.SH,中国移动,电信运营,稳定盈利,97.11,53.36251346229135,86.92809868834071,128.10002595896364,1.1171301508406848,0.11713015084068479,-0.24192052832909794,正常化盈利估值（正常化归母利润×合理PE）,15.9826,1.4818,2.2667,44.0238474,低,公允价值内,出清观察,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.30688630632256675,15,6,0,11,0
002032.SZ,苏泊尔,家用电器,稳定盈利,39.11,21.652414959930258,31.953020294760115,45.6303568116741,1.2239844508975428,0.22398445089754282,-0.14289515286029775,正常化盈利估值（正常化归母利润×合理PE）,15.454,6.1951,6.6989,65.49849475,低,公允价值内,出清观察,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.0,15,5,0,12,0
600177.SH,雅戈尔,服饰,多业务/资产,8.32,4.938255694366353,6.733985037772298,8.978646717029731,1.2355239807233638,0.23552398072336378,-0.07335701445747722,扣商誉净资产/PB,13.4721,0.9121,5.2501,8.7361664,低,公允价值内,未见出清触发,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.0,15,2,0,15,0
600019.SH,宝钢股份,普钢,周期资源/重资产,5.9,3.125237634620894,4.638981189526415,5.785122848050985,1.271830981621704,0.27183098162170394,0.01985734010604756,正常化盈利估值（正常化归母利润×周期PE）,12.8027,0.6232,5.0418,5.408476363636364,中,普通高估,出清中,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,12,4,2,14,0
600028.SH,中国石化,石油加工,周期资源/重资产,5.61,2.8542130436291937,4.41001771570701,5.910543896367968,1.2721037332841214,0.2721037332841214,-0.05084877155766532,正常化盈利估值（正常化归母利润×周期PE）,18.8689,0.804,3.5662,3.6375239999999995,中,公允价值内,证据不足,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.0,13,3,0,16,0
600132.SH,重庆啤酒,啤酒,稳定盈利,39.71,19.627686650909954,30.51992574343236,43.76671368355892,1.3011171892692193,0.30111718926921927,-0.09268947430893892,正常化盈利估值（正常化归母利润×合理PE）,16.5414,12.1332,6.2956,62.499569,低,公允价值内,未见出清触发,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.0,16,4,0,12,0
000895.SZ,双汇发展,食品,稳定盈利,23.89,11.738304665249387,17.63036359622093,24.67351521728701,1.3550486278751972,0.3550486278751972,-0.03175531375999707,正常化盈利估值（正常化归母利润×合理PE）,16.2709,3.9604,3.3487,20.00011075,中,公允价值内,出清观察,走弱：负债、净现金和现金流三个高权重维度中至少两项恶化，后续利润或净资产改善不足以直接抵消。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.0,14,5,0,13,0
603658.SH,安图生物,医疗保健,稳定盈利,32.06,16.035351360019277,23.490559894512657,34.82190515614385,1.3648035697731133,0.36480356977311335,-0.07931516508816139,正常化盈利估值（正常化归母利润×合理PE）,18.4279,2.112,4.0861,32.7500915,中,公允价值内,出清观察,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.0,10,9,0,13,0
001965.SZ,招商公路,路桥,稳定盈利,9.56,5.164681944777538,6.363287269360173,10.371921613866089,1.502368130703811,0.502368130703811,-0.07828073177690054,正常化盈利估值（正常化归母利润×合理PE）,13.7873,0.9455,3.9017,7.4600504,中,公允价值内,出清观察,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,observe,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.0,15,5,0,12,0
600350.SH,山东高速,路桥,稳定盈利,9.96,4.678663844090581,6.165331091554092,8.342440412028392,1.6154850164728765,0.6154850164728765,0.19389525223810544,正常化盈利估值（正常化归母利润×合理PE）,15.5972,1.6431,4.2169,8.400064799999999,中,普通高估,出清中,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,11,5,3,13,0
601006.SH,大秦铁路,铁路,稳定盈利,4.82,2.406820851479904,2.8820908774479213,5.806380280557138,1.67239695240564,0.6723969524056399,-0.16987869083602147,正常化盈利估值（正常化归母利润×合理PE）,15.8504,0.5815,4.6232,4.456764799999999,低,公允价值内,未见出清触发,稳定：高权重财务安全与现金流指标未形成同向恶化或同向改善，当前表现分化。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,0.0,16,2,0,14,0
002007.SZ,华兰生物,生物制药,稳定盈利,13.33,4.499348048912918,6.568783875301447,11.61083462329698,2.0292949582525694,1.0292949582525694,0.14806561564950194,正常化盈利估值（正常化归母利润×合理PE）,30.1233,2.2181,7.5055,25.01207875,低,普通高估,出清观察,改善：负债、净现金和现金流三个高权重维度中至少两项改善，未见同层级反证。,wait,review（未提供是否持仓、成本和仓位，不能生成个性化减持结论）,,13,7,1,11,0
